10,손전등,이 손전등을 쓰기 위해서는 건전지가 있어야 할 것 같다.,TRUE
11,손전등(건전지),어두운 곳에서 빛을 밝힐 수 있을 것 같다.,TRUE
12,손전등(빛),손전등은 빛을 밝히고 있다.,TRUE
20,지갑,이 지갑 안에는 돈과 신분증이 있다.,TRUE
21,지갑,이 지갑은 비어있다.,FALSE
30,돈(플레이어0),5000,FALSE
40,신분증,이름 : 김종찬 성별 : 남성 나이 : 30세 직업 : 백수 출신 : 한국,FALSE
50,수첩,이 수첩에는 지금까지 찾은 단서를 볼 수 있을 것 같다.,TRUE
60,방 열쇠,이 열쇠를 이용해서 방에 들어갈 수 있다.,FALSE
100010,지갑,이 지갑 안에는 돈과 신분증이 있다.,TRUE
100011,지갑,이 지갑은 비어있다.,FALSE
100020,돈(플레이어1),300000,FALSE
100030,신분증,이름 : 이여빈 성별 : 여성 나이 : 30세 직업 : 건물주 출신 : 한국,FALSE
100040,수첩,이 수첩에는 지금까지 찾은 단서를 볼 수 있을 것 같다.,TRUE
100050,칼,무딘 칼이다 무언가를 자를 수 있을 것 같다.,FALSE
100060,마른 행주,마른 행주이다.,FALSE
100061,젖은 행주,젖은 행주다 무언가를 닦아낼 수 있을 것 같다.,FALSE
